,index,I_var,time_var,file_var,args_var,num_instancias_var,nome_do_dataset_var,key,I_fixed,time_fixed,file_fixed,args_fixed,num_instancias_fixed,nome_do_dataset_fixed,delta
45,271,1,0.0609,./datasets/Aleatórios/a75000.txt,"['B', '10']",75000,Aleatórios,"./datasets/Aleatórios/a75000.txt_['B', '10']",1,13.923,./datasets/Aleatórios/a75000.txt,"['B', '10']",75000,Aleatórios,228.6206896551724
46,277,1,0.0304,./datasets/Aleatórios/a75000.txt,"['B', '100']",75000,Aleatórios,"./datasets/Aleatórios/a75000.txt_['B', '100']",1,0.1686,./datasets/Aleatórios/a75000.txt,"['B', '100']",75000,Aleatórios,5.546052631578948
47,283,1,0.0118,./datasets/Aleatórios/a75000.txt,"['B', '1000']",75000,Aleatórios,"./datasets/Aleatórios/a75000.txt_['B', '1000']",1,0.0397,./datasets/Aleatórios/a75000.txt,"['B', '1000']",75000,Aleatórios,3.364406779661017
48,289,1,0.9981,./datasets/Aleatórios/a100000.txt,['I'],100000,Aleatórios,./datasets/Aleatórios/a100000.txt_['I'],1,248.592,./datasets/Aleatórios/a100000.txt,['I'],100000,Aleatórios,249.06522392545838
49,295,1,0.1215,./datasets/Aleatórios/a100000.txt,"['B', '10']",100000,Aleatórios,"./datasets/Aleatórios/a100000.txt_['B', '10']",1,25.143,./datasets/Aleatórios/a100000.txt,"['B', '10']",100000,Aleatórios,206.93827160493828
50,301,1,0.0232,./datasets/Aleatórios/a100000.txt,"['B', '100']",100000,Aleatórios,"./datasets/Aleatórios/a100000.txt_['B', '100']",1,0.2679,./datasets/Aleatórios/a100000.txt,"['B', '100']",100000,Aleatórios,11.54741379310345
51,307,1,0.0232,./datasets/Aleatórios/a100000.txt,"['B', '1000']",100000,Aleatórios,"./datasets/Aleatórios/a100000.txt_['B', '1000']",1,0.0514,./datasets/Aleatórios/a100000.txt,"['B', '1000']",100000,Aleatórios,2.2155172413793105
52,313,1,41.226,./datasets/Aleatórios/a200000.txt,['I'],200000,Aleatórios,./datasets/Aleatórios/a200000.txt_['I'],1,,./datasets/Aleatórios/a200000.txt,['I'],200000,Aleatórios,
53,319,1,0.346,./datasets/Aleatórios/a200000.txt,"['B', '10']",200000,Aleatórios,"./datasets/Aleatórios/a200000.txt_['B', '10']",1,101.927,./datasets/Aleatórios/a200000.txt,"['B', '10']",200000,Aleatórios,294.5867052023122
54,325,1,0.0556,./datasets/Aleatórios/a200000.txt,"['B', '100']",200000,Aleatórios,"./datasets/Aleatórios/a200000.txt_['B', '100']",1,10.417,./datasets/Aleatórios/a200000.txt,"['B', '100']",200000,Aleatórios,187.35611510791367
55,331,1,0.0256,./datasets/Aleatórios/a200000.txt,"['B', '1000']",200000,Aleatórios,"./datasets/Aleatórios/a200000.txt_['B', '1000']",1,0.1363,./datasets/Aleatórios/a200000.txt,"['B', '1000']",200000,Aleatórios,5.32421875
56,337,1,225.527,./datasets/Aleatórios/a500000.txt,['I'],500000,Aleatórios,./datasets/Aleatórios/a500000.txt_['I'],1,,./datasets/Aleatórios/a500000.txt,['I'],500000,Aleatórios,
57,343,1,22.297,./datasets/Aleatórios/a500000.txt,"['B', '10']",500000,Aleatórios,"./datasets/Aleatórios/a500000.txt_['B', '10']",1,612.424,./datasets/Aleatórios/a500000.txt,"['B', '10']",500000,Aleatórios,27.466654706911243
58,349,1,0.2676,./datasets/Aleatórios/a500000.txt,"['B', '100']",500000,Aleatórios,"./datasets/Aleatórios/a500000.txt_['B', '100']",1,60.852,./datasets/Aleatórios/a500000.txt,"['B', '100']",500000,Aleatórios,227.39910313901345
59,355,1,0.0864,./datasets/Aleatórios/a500000.txt,"['B', '1000']",500000,Aleatórios,"./datasets/Aleatórios/a500000.txt_['B', '1000']",1,0.5684,./datasets/Aleatórios/a500000.txt,"['B', '1000']",500000,Aleatórios,6.578703703703703
60,361,1,647.408,./datasets/Aleatórios/a750000.txt,['I'],750000,Aleatórios,./datasets/Aleatórios/a750000.txt_['I'],1,,./datasets/Aleatórios/a750000.txt,['I'],750000,Aleatórios,
61,367,1,48.411,./datasets/Aleatórios/a750000.txt,"['B', '10']",750000,Aleatórios,"./datasets/Aleatórios/a750000.txt_['B', '10']",1,,./datasets/Aleatórios/a750000.txt,"['B', '10']",750000,Aleatórios,
62,373,1,0.4921,./datasets/Aleatórios/a750000.txt,"['B', '100']",750000,Aleatórios,"./datasets/Aleatórios/a750000.txt_['B', '100']",1,137.074,./datasets/Aleatórios/a750000.txt,"['B', '100']",750000,Aleatórios,278.5490753911807
63,379,1,0.1297,./datasets/Aleatórios/a750000.txt,"['B', '1000']",750000,Aleatórios,"./datasets/Aleatórios/a750000.txt_['B', '1000']",1,12.462,./datasets/Aleatórios/a750000.txt,"['B', '1000']",750000,Aleatórios,96.08326908249806
64,385,1,,./datasets/Aleatórios/a1000000.txt,['I'],1000000,Aleatórios,./datasets/Aleatórios/a1000000.txt_['I'],1,,./datasets/Aleatórios/a1000000.txt,['I'],1000000,Aleatórios,
65,391,1,148.137,./datasets/Aleatórios/a1000000.txt,"['B', '10']",1000000,Aleatórios,"./datasets/Aleatórios/a1000000.txt_['B', '10']",1,,./datasets/Aleatórios/a1000000.txt,"['B', '10']",1000000,Aleatórios,
66,397,1,14.261,./datasets/Aleatórios/a1000000.txt,"['B', '100']",1000000,Aleatórios,"./datasets/Aleatórios/a1000000.txt_['B', '100']",1,242.612,./datasets/Aleatórios/a1000000.txt,"['B', '100']",1000000,Aleatórios,17.012271229226563
67,403,1,0.2792,./datasets/Aleatórios/a1000000.txt,"['B', '1000']",1000000,Aleatórios,"./datasets/Aleatórios/a1000000.txt_['B', '1000']",1,21.647,./datasets/Aleatórios/a1000000.txt,"['B', '1000']",1000000,Aleatórios,77.53223495702005
68,409,1,,./datasets/Aleatórios/a1250000.txt,['I'],1250000,Aleatórios,./datasets/Aleatórios/a1250000.txt_['I'],1,,./datasets/Aleatórios/a1250000.txt,['I'],1250000,Aleatórios,
69,415,1,129.8,./datasets/Aleatórios/a1250000.txt,"['B', '10']",1250000,Aleatórios,"./datasets/Aleatórios/a1250000.txt_['B', '10']",1,,./datasets/Aleatórios/a1250000.txt,"['B', '10']",1250000,Aleatórios,
70,421,1,12.699,./datasets/Aleatórios/a1250000.txt,"['B', '100']",1250000,Aleatórios,"./datasets/Aleatórios/a1250000.txt_['B', '100']",1,376.856,./datasets/Aleatórios/a1250000.txt,"['B', '100']",1250000,Aleatórios,29.6760374832664
71,427,1,0.2301,./datasets/Aleatórios/a1250000.txt,"['B', '1000']",1250000,Aleatórios,"./datasets/Aleatórios/a1250000.txt_['B', '1000']",1,32.493,./datasets/Aleatórios/a1250000.txt,"['B', '1000']",1250000,Aleatórios,141.21251629726206
72,433,1,,./datasets/Aleatórios/a1500000.txt,['I'],1500000,Aleatórios,./datasets/Aleatórios/a1500000.txt_['I'],1,,./datasets/Aleatórios/a1500000.txt,['I'],1500000,Aleatórios,
73,439,1,196.382,./datasets/Aleatórios/a1500000.txt,"['B', '10']",1500000,Aleatórios,"./datasets/Aleatórios/a1500000.txt_['B', '10']",1,,./datasets/Aleatórios/a1500000.txt,"['B', '10']",1500000,Aleatórios,
74,445,1,18.503,./datasets/Aleatórios/a1500000.txt,"['B', '100']",1500000,Aleatórios,"./datasets/Aleatórios/a1500000.txt_['B', '100']",1,543.125,./datasets/Aleatórios/a1500000.txt,"['B', '100']",1500000,Aleatórios,29.353348105712588
75,451,1,0.3093,./datasets/Aleatórios/a1500000.txt,"['B', '1000']",1500000,Aleatórios,"./datasets/Aleatórios/a1500000.txt_['B', '1000']",1,46.494,./datasets/Aleatórios/a1500000.txt,"['B', '1000']",1500000,Aleatórios,150.32007759456837
76,457,1,,./datasets/Aleatórios/a2000000.txt,['I'],2000000,Aleatórios,./datasets/Aleatórios/a2000000.txt_['I'],1,,./datasets/Aleatórios/a2000000.txt,['I'],2000000,Aleatórios,
77,463,1,355.765,./datasets/Aleatórios/a2000000.txt,"['B', '10']",2000000,Aleatórios,"./datasets/Aleatórios/a2000000.txt_['B', '10']",1,,./datasets/Aleatórios/a2000000.txt,"['B', '10']",2000000,Aleatórios,
78,469,1,30.792,./datasets/Aleatórios/a2000000.txt,"['B', '100']",2000000,Aleatórios,"./datasets/Aleatórios/a2000000.txt_['B', '100']",1,962.951,./datasets/Aleatórios/a2000000.txt,"['B', '100']",2000000,Aleatórios,31.27276565341647
79,475,1,0.4132,./datasets/Aleatórios/a2000000.txt,"['B', '1000']",2000000,Aleatórios,"./datasets/Aleatórios/a2000000.txt_['B', '1000']",1,80.854,./datasets/Aleatórios/a2000000.txt,"['B', '1000']",2000000,Aleatórios,195.67763794772506
