I;time;file;args1;0.0065;./datasets/Aleatórios/a100.txt;['I']
1;0.2437;./datasets/Ordenados/o2000000.txt;['B', '10'];;;
1;0.2381;./datasets/Ordenados/o2000000.txt;['B', '100'];;;
1;0.2855;./datasets/Ordenados/o2000000.txt;['B', '1000'];;;
1;0.0118;./datasets/ParcialmenteOrdenados/po100.txt;['I'];;;
1;0.0014;./datasets/ParcialmenteOrdenados/po100.txt;['B', '10'];;;
1;0.0017;./datasets/ParcialmenteOrdenados/po100.txt;['B', '100'];;;
1;0.0015;./datasets/ParcialmenteOrdenados/po100.txt;['B', '1000'];;;
1;0.0018;./datasets/ParcialmenteOrdenados/po200.txt;['I'];;;
1;0.0017;./datasets/ParcialmenteOrdenados/po200.txt;['B', '10'];;;
1;0.0018;./datasets/ParcialmenteOrdenados/po200.txt;['B', '100'];;;
1;0.0020;./datasets/ParcialmenteOrdenados/po200.txt;['B', '1000'];;;
1;0.0024;./datasets/ParcialmenteOrdenados/po500.txt;['I'];;;
1;0.0017;./datasets/ParcialmenteOrdenados/po500.txt;['B', '10'];;;
1;0.0015;./datasets/ParcialmenteOrdenados/po500.txt;['B', '100'];;;
1;0.0016;./datasets/ParcialmenteOrdenados/po500.txt;['B', '1000'];;;
1;0.0016;./datasets/ParcialmenteOrdenados/po1000.txt;['I'];;;
1;0.0012;./datasets/ParcialmenteOrdenados/po1000.txt;['B', '10'];;;
1;0.0015;./datasets/ParcialmenteOrdenados/po1000.txt;['B', '100'];;;
1;0.0016;./datasets/ParcialmenteOrdenados/po1000.txt;['B', '1000'];;;
1;0.0018;./datasets/ParcialmenteOrdenados/po2000.txt;['I'];;;
1;0.0017;./datasets/ParcialmenteOrdenados/po2000.txt;['B', '10'];;;
1;0.0017;./datasets/ParcialmenteOrdenados/po2000.txt;['B', '100'];;;
1;0.0019;./datasets/ParcialmenteOrdenados/po2000.txt;['B', '1000'];;;
1;0.0036;./datasets/ParcialmenteOrdenados/po5000.txt;['I'];;;
1;0.0024;./datasets/ParcialmenteOrdenados/po5000.txt;['B', '10'];;;
1;0.0018;./datasets/ParcialmenteOrdenados/po5000.txt;['B', '100'];;;
1;0.0033;./datasets/ParcialmenteOrdenados/po5000.txt;['B', '1000'];;;
1;0.0035;./datasets/ParcialmenteOrdenados/po7500.txt;['I'];;;
1;0.0022;./datasets/ParcialmenteOrdenados/po7500.txt;['B', '10'];;;
1;0.0023;./datasets/ParcialmenteOrdenados/po7500.txt;['B', '100'];;;
1;0.0029;./datasets/ParcialmenteOrdenados/po7500.txt;['B', '1000'];;;
1;0.0056;./datasets/ParcialmenteOrdenados/po10000.txt;['I'];;;
1;0.0027;./datasets/ParcialmenteOrdenados/po10000.txt;['B', '10'];;;
1;0.0029;./datasets/ParcialmenteOrdenados/po10000.txt;['B', '100'];;;
1;0.0035;./datasets/ParcialmenteOrdenados/po10000.txt;['B', '1000'];;;
1;0.0053;./datasets/ParcialmenteOrdenados/po15000.txt;['I'];;;
1;0.0041;./datasets/ParcialmenteOrdenados/po15000.txt;['B', '10'];;;
1;0.0034;./datasets/ParcialmenteOrdenados/po15000.txt;['B', '100'];;;
1;0.0046;./datasets/ParcialmenteOrdenados/po15000.txt;['B', '1000'];;;
1;0.0093;./datasets/ParcialmenteOrdenados/po30000.txt;['I'];;;
1;0.0057;./datasets/ParcialmenteOrdenados/po30000.txt;['B', '10'];;;
1;0.0068;./datasets/ParcialmenteOrdenados/po30000.txt;['B', '100'];;;
1;0.0061;./datasets/ParcialmenteOrdenados/po30000.txt;['B', '1000'];;;
1;0.0126;./datasets/ParcialmenteOrdenados/po50000.txt;['I'];;;
1;0.0087;./datasets/ParcialmenteOrdenados/po50000.txt;['B', '10'];;;
1;0.0083;./datasets/ParcialmenteOrdenados/po50000.txt;['B', '100'];;;
1;0.0085;./datasets/ParcialmenteOrdenados/po50000.txt;['B', '1000'];;;
1;0.0137;./datasets/ParcialmenteOrdenados/po75000.txt;['I'];;;
